State,Constituency,CDU Cons,CDU List,SPD Cons,SPD List,Die Linke Cons,Die Linke List,Grüne Cons,Grüne List,CSU Cons,CSU List
Schleswig-Holstein,1,68235,61347,59718,52396,7436,9084,12491,15734,0,0
Schleswig-Holstein,2,64678,56383,41714,38590,4653,5733,8465,10547,0,0
Schleswig-Holstein,3,56669,52408,42476,37502,4909,6286,6386,9485,0,0
Schleswig-Holstein,4,66775,60349,54397,46658,4902,6447,10306,13707,0,0
Schleswig-Holstein,5,47925,43893,62271,50262,7622,10023,14435,20394,0,0
Schleswig-Holstein,6,54833,48683,47085,41094,4708,5987,7979,11577,0,0
Schleswig-Holstein,7,80483,72006,64006,55371,6985,8910,11324,15291,0,0
Schleswig-Holstein,8,82471,74161,63998,54691,7003,9112,11141,15695,0,0
Schleswig-Holstein,9,59783,53705,48349,41134,4469,5663,7145,10490,0,0
Schleswig-Holstein,10,81954,73603,62749,53944,6834,8962,12774,16579,0,0
Schleswig-Holstein,11,44896,42218,50119,42083,6662,7970,9475,13638,0,0
Hamburg,18,46753,44947,64997,55721,15693,18124,19943,22645,0,0
Hamburg,19,43609,39581,46918,40009,13759,14525,18380,22167,0,0
Hamburg,20,47112,43989,53105,44492,9728,12137,18399,22074,0,0
Hamburg,21,64459,59244,56421,49039,7626,10615,19343,20357,0,0
Hamburg,22,54002,50641,58029,50339,9594,11078,9320,12667,0,0
Hamburg,23,50044,47525,56867,49302,10595,11817,9088,12916,0,0
Niedersachsen,24,42737,43026,66348,58080,6373,6588,12627,11028,0,0
Niedersachsen,25,90236,80616,51409,51079,6426,6771,8441,9506,0,0
Niedersachsen,26,52275,50796,58178,48011,6736,6814,7362,9731,0,0
Niedersachsen,27,59525,57067,60547,52856,8794,10523,18552,20170,0,0
Niedersachsen,28,63832,62620,63256,54848,7273,8814,9784,13059,0,0
Niedersachsen,29,63431,59699,49395,45534,4904,6241,8326,9592,0,0
Niedersachsen,30,68545,64472,49111,44598,4878,6021,9099,11209,0,0
Niedersachsen,31,99705,94923,48903,44069,4543,5107,8393,9160,0,0
Niedersachsen,32,101015,96401,32422,30168,3821,4259,5702,6488,0,0
Niedersachsen,33,66862,61404,47067,44431,4933,6359,10651,11556,0,0
Niedersachsen,34,63174,57243,53660,47413,7195,8008,9729,13708,0,0
Niedersachsen,35,54448,53163,49301,38018,4758,5572,6026,10332,0,0
Niedersachsen,36,68458,64905,47908,42915,5472,6641,10754,14078,0,0
Niedersachsen,37,52644,48756,44491,38415,7784,9202,15918,18892,0,0
Niedersachsen,38,76179,68972,46365,42214,5162,5783,8330,11046,0,0
Niedersachsen,39,64416,60754,49059,43099,5840,7188,12568,15390,0,0
Niedersachsen,40,58349,56279,62641,51043,4649,6006,8173,11370,0,0
Niedersachsen,41,46650,42910,55711,45441,6435,7993,9876,15718,0,0
Niedersachsen,42,47180,41684,59686,48292,8657,11129,14229,21559,0,0
Niedersachsen,43,77509,72286,67440,57922,6220,7931,8735,14308,0,0
Niedersachsen,44,75369,68568,53237,46931,5655,7085,9563,12071,0,0
Niedersachsen,45,67368,64451,69259,57875,6810,7575,7666,11855,0,0
Niedersachsen,46,53726,50937,57484,49411,6308,7201,8202,11428,0,0
Niedersachsen,47,75761,69644,78433,65169,7350,8669,9422,16212,0,0
Niedersachsen,48,68653,63041,66986,59319,7909,8120,13771,14587,0,0
Niedersachsen,49,55720,53593,70080,58881,6524,8461,6630,11013,0,0
Niedersachsen,50,49710,48419,61952,47741,7119,9527,10117,17614,0,0
Niedersachsen,51,58760,54188,50826,45837,5731,6440,6666,9004,0,0
Niedersachsen,52,61723,55775,62209,55985,6805,7475,7833,10141,0,0
Niedersachsen,53,62558,59000,66192,54410,8581,10432,16740,20076,0,0
Bremen,54,55198,55254,69161,60502,15186,18502,25342,25448,0,0
Bremen,55,42067,41205,64276,56702,13335,14782,12325,14566,0,0
Nordrhein-Westfalen,87,54175,48728,46907,36432,8225,10212,11931,17485,0,0
Nordrhein-Westfalen,88,73621,66328,57635,52897,9418,10538,9096,10220,0,0
Nordrhein-Westfalen,89,70649,65417,37444,34895,5720,6915,7511,7336,0,0
Nordrhein-Westfalen,90,71903,63532,48849,42549,7288,8120,6951,8729,0,0
Nordrhein-Westfalen,91,83598,75521,63676,55089,7820,9266,9822,12264,0,0
