State,Constituency,CDU Cons,CDU List,SPD Cons,SPD List,Die Linke Cons,Die Linke List,Grüne Cons,Grüne List,CSU Cons,CSU List,FDP Cons,FDP List,AfD Cons,AfD List
Schleswig-Holstein,1,68120,58320,47711,40388,12144,14002,17911,22304,0,0,11147,18955,10583,11653
Schleswig-Holstein,2,62256,52928,34685,31120,7102,8589,13026,15144,0,0,11105,18050,8117,9030
Schleswig-Holstein,3,54812,47366,34219,29756,7176,8732,8791,12960,0,0,14440,17298,10006,11180
Schleswig-Holstein,4,66625,56585,45070,35766,8074,9962,13978,19337,0,0,10077,19071,10656,11578
Schleswig-Holstein,5,46560,40736,46991,36208,11114,15546,21743,26143,0,0,11363,17804,9283,10504
Schleswig-Holstein,6,53109,43778,37728,31013,7009,8503,11736,16350,0,0,9379,16481,10223,11161
Schleswig-Holstein,7,73816,63863,56460,42729,11270,13111,15379,21336,0,0,14441,24735,14729,15977
Schleswig-Holstein,8,78824,66367,52434,43027,10838,13237,16004,21010,0,0,15617,26043,15682,17166
Schleswig-Holstein,9,56996,48898,42232,33764,6062,8303,9539,13493,0,0,10047,18147,10790,11782
Schleswig-Holstein,10,75737,66031,52171,42815,9785,12480,18688,20826,0,0,15775,26163,17435,18792
Schleswig-Holstein,11,45432,38263,43578,32919,0,12213,16785,16568,0,0,8312,14097,11137,11539
Mecklenburg-Vorpommern,12,49733,51083,34267,28947,26655,25929,5837,6606,0,0,7470,9879,24764,25692
Mecklenburg-Vorpommern,13,43453,48841,34705,25029,23433,24409,5858,5521,0,0,8290,9008,25262,25688
Mecklenburg-Vorpommern,14,47923,49433,29056,25650,40202,33575,8333,10229,0,0,7368,10661,23785,25171
Mecklenburg-Vorpommern,15,73746,55110,19515,20405,26650,30107,5081,8498,0,0,5229,11490,32173,32881
Mecklenburg-Vorpommern,16,48269,51789,21493,19064,29462,27246,3898,4068,0,0,8909,8659,36273,35595
Mecklenburg-Vorpommern,17,53538,51007,22401,20594,24728,24102,4739,4592,0,0,6633,8198,26199,27382
Hamburg,18,42149,40909,53795,41551,24083,26109,22368,25164,0,0,11202,16255,12728,13940
Hamburg,19,37575,36139,41947,29680,19704,22766,20817,26036,0,0,12482,16306,7425,8028
Hamburg,20,44416,41826,48920,34575,16123,19290,23220,26372,0,0,10537,17463,8777,9138
Hamburg,21,59441,55737,54695,38150,13277,16720,24065,25584,0,0,14911,24652,9701,10963
Hamburg,22,50822,49482,59086,45542,15673,16847,12112,17773,0,0,12007,17621,16208,16732
Hamburg,23,43274,42219,53446,40364,16382,17344,11903,15442,0,0,8039,13313,16688,17710
Niedersachsen,24,38531,39552,69231,53353,9403,10142,9787,10503,0,0,6882,10079,0,12877
Niedersachsen,25,87406,74173,48959,48194,7726,9459,8255,10258,0,0,7758,13629,13387,14620
Niedersachsen,26,44537,45098,54504,42207,8127,9738,7542,9984,0,0,8074,12958,11392,12490
Niedersachsen,27,52598,53417,63235,45514,14081,16351,19827,21821,0,0,10635,18136,11592,12625
Niedersachsen,28,57390,56526,55326,47622,10262,11567,12933,13525,0,0,15208,17076,15122,16392
Niedersachsen,29,59930,54163,43077,38923,8121,9121,8491,9709,0,0,6984,11483,11862,12650
Niedersachsen,30,67463,59229,42829,37361,7994,9564,10613,12511,0,0,8797,14538,12590,13513
Niedersachsen,31,95815,88310,47107,41983,6813,8167,8900,10803,0,0,10089,16181,8949,9701
Niedersachsen,32,93545,86301,32997,28870,6640,7145,7034,8207,0,0,8306,15298,12683,13145
Niedersachsen,33,65465,55833,40102,37505,7759,8951,11252,11992,0,0,10285,15515,11955,12434
Niedersachsen,34,59560,53035,48505,40047,10714,11055,10146,14052,0,0,8273,13464,12995,14675
Niedersachsen,35,45510,47558,51938,34211,5219,7422,6053,10068,0,0,5659,10699,10331,11671
Niedersachsen,36,65223,57815,44017,35377,8638,10117,14565,16410,0,0,10458,18839,14826,16047
Niedersachsen,37,46740,43861,39169,32865,11729,12705,20604,18906,0,0,9245,12959,12131,12498
Niedersachsen,38,68379,60737,42438,38529,7908,9156,11613,12346,0,0,9576,14603,9934,10940
Niedersachsen,39,60185,53977,47279,37336,12521,12759,15108,18353,0,0,13353,14309,0,9499
Niedersachsen,40,59128,49896,47615,43307,6530,8289,11206,11831,0,0,6539,12430,13292,14945
Niedersachsen,41,39487,36401,47549,36645,9579,12470,12102,16292,0,0,8734,13658,11364,12226
Niedersachsen,42,42713,36203,49744,37964,13775,17823,16486,22079,0,0,8165,14735,10590,11241
Niedersachsen,43,72282,62828,59552,48783,8958,10890,10725,14335,0,0,9325,18869,17217,18366
Niedersachsen,44,68655,58858,48189,40899,7901,9297,9266,12478,0,0,8830,16334,16199,17554
Niedersachsen,45,60345,56567,63294,50445,8827,10166,9342,12094,0,0,8062,14004,16501,18289
Niedersachsen,46,46181,44424,54130,44190,8220,9130,7511,9995,0,0,8034,12531,13143,14054
Niedersachsen,47,65815,58984,69104,55161,10124,12305,10693,16290,0,0,10092,17925,17570,19392
Niedersachsen,48,60457,54871,62448,52077,8502,10932,12691,14806,0,0,9330,13876,14433,15695
Niedersachsen,49,45310,45985,66587,50482,9290,11266,6680,10213,0,0,7268,12450,18564,19115
Niedersachsen,50,45881,42534,55641,38695,11145,13673,11761,17295,0,0,7877,14684,11377,12268
Niedersachsen,51,47416,47037,51646,40740,8128,9050,6096,8064,0,0,7791,10988,13857,14862
Niedersachsen,52,59391,48131,51953,48016,8525,9521,8128,9929,0,0,7438,13734,13937,15132
Niedersachsen,53,56250,51177,59032,47871,9905,14748,19131,19676,0,0,7734,15421,11870,13446
Bremen,54,44912,48458,55656,45729,22666,26425,22117,23568,0,0,20702,19138,14290,15539
Bremen,55,36363,34951,49463,43215,16739,18204,11269,13165,0,0,9755,11918,16645,17705
Brandenburg,56,36481,35215,28061,24884,20849,19447,3547,4231,0,0,4226,6555,21296,22183
Brandenburg,57,39102,36160,24843,21650,23589,23870,4714,5187,0,0,4859,7021,25804,26605
Brandenburg,58,54455,51968,41423,33856,26839,26091,9685,11684,0,0,9514,13912,32762,33987
Brandenburg,59,47594,42113,26526,25908,37721,34632,8972,7800,0,0,7111,11007,33915,34701
Brandenburg,60,39991,35556,31548,26055,19038,20925,4293,5238,0,0,5763,8194,21312,22633
Brandenburg,61,48095,48015,50588,35773,31840,35106,15549,19079,0,0,14425,17768,23890,26133
Brandenburg,62,56607,49982,36148,32565,30278,29217,8127,8617,0,0,8910,13718,37358,38915
Brandenburg,63,37344,33888,23598,22702,26401,26202,4504,5896,0,0,7008,9241,30261,30477
Brandenburg,64,36855,31366,22019,19729,20359,21456,4319,4093,0,0,7426,9941,32776,34905
Brandenburg,65,35633,33576,20142,18700,19583,18775,3543,3146,0,0,6492,8128,29830,30564
Sachsen-Anhalt,66,35644,36022,20900,18721,20973,20346,3738,3648,0,0,7388,7838,18031,18419
Sachsen-Anhalt,67,55110,47566,29174,24053,29616,24555,3540,4236,0,0,11080,11413,0,27905
Sachsen-Anhalt,68,51386,47574,24767,22915,27104,25069,4462,4968,0,0,6923,9902,22792,23860
Sachsen-Anhalt,69,44021,44616,34877,27513,30299,30056,6417,8564,0,0,10796,12713,24509,26051
Sachsen-Anhalt,70,42781,38751,14806,17360,22086,21102,5607,4299,0,0,6051,8940,23520,24327
Sachsen-Anhalt,71,45843,44620,18687,20289,30757,25887,2854,3455,0,0,9213,10848,32281,32349
Sachsen-Anhalt,72,40690,39833,32053,21196,30530,28892,5475,10457,0,0,10131,13533,26018,26727
Sachsen-Anhalt,73,43254,38678,16930,17098,21819,21042,3198,3366,0,0,8538,10132,30112,31781
Sachsen-Anhalt,74,42725,39751,20864,19835,24863,23909,3647,3250,0,0,11091,11236,32864,32982
Berlin,75,27654,27861,35036,26788,30492,32118,26781,25708,0,0,9017,12972,11782,12289
Berlin,76,36429,36994,30509,29185,53618,43774,26376,26651,0,0,7890,12321,22487,23315
Berlin,77,49654,41912,31882,27071,10384,11516,10647,12305,0,0,9688,15376,17738,18513
Berlin,78,40372,36712,41965,29733,9861,12780,8031,11063,0,0,8292,12927,17551,18481
Berlin,79,63085,53281,43801,34279,13392,16352,22712,25361,0,0,16159,25461,14549,15824
Berlin,80,47077,40085,43123,30351,14745,18367,21286,24770,0,0,14426,23280,11722,12374
Berlin,81,51708,44721,39380,36179,19356,23625,33763,27956,0,0,11362,18569,16188,17108
Berlin,82,34593,31592,37777,27520,23204,25752,15480,18446,0,0,7255,10891,15105,15904
Berlin,83,20955,23887,29028,27391,42600,49016,45055,35077,0,0,5263,10147,10558,10863
Berlin,84,29384,31372,21379,24109,61881,39000,7755,12168,0,0,5831,10067,23245,26278
Berlin,85,30480,28620,17172,19797,46782,35698,4440,5621,0,0,4852,7290,28167,29618
Berlin,86,28905,27284,20720,21850,51249,43172,8609,9821,0,0,5018,7745,23119,24603
Nordrhein-Westfalen,87,47011,38827,45309,34663,12282,14459,13104,17918,0,0,10232,19795,7817,8271
Nordrhein-Westfalen,88,62405,52656,63135,60539,8785,10105,7782,8436,0,0,11038,19213,15114,14853
Nordrhein-Westfalen,89,64121,55605,39301,36421,6424,7909,6964,7281,0,0,9334,16111,11652,12313
Nordrhein-Westfalen,90,62711,52412,47543,43816,6611,8809,8235,8198,0,0,8788,17155,13404,14432
Nordrhein-Westfalen,91,74207,63664,58792,50014,8590,11392,10354,12526,0,0,17648,27398,17113,18091
Nordrhein-Westfalen,92,79493,66503,48592,43498,10835,11403,10689,12447,0,0,18316,27410,17650,18325
Nordrhein-Westfalen,93,43683,36565,42799,33666,11898,15271,13535,15800,0,0,10652,18067,11952,12290
Nordrhein-Westfalen,94,68657,56165,52880,38485,15704,21100,28716,30630,0,0,17816,33760,9057,9964
Nordrhein-Westfalen,95,41106,36500,48148,36849,14431,19118,19621,20973,0,0,10599,16850,11249,11731
